date,amount,direction,description,counterparty,category,account,txn_id,balance
2022-01-31,889,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00040,40978
2022-02-01,907,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00041,41885
2022-02-02,1066,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00042,42951
2022-02-03,1109,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00043,44060
2022-02-04,887,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00044,44947
2022-02-05,740,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00045,45687
2022-02-06,1000,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00046,46687
2022-02-06,426,debit,Bakery Payment,,COGS,Checking Account,TX00047,46261
2022-02-07,1043,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00048,47304
2022-02-08,835,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00049,48139
2022-02-08,238,debit,Utility Bill Payment,,Operating Expense,Checking Account,TX00050,47901
2022-02-09,780,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00051,48681
2022-02-10,1118,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00052,49799
2022-02-11,960,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00053,50759
2022-02-12,740,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00054,51499
2022-02-13,900,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00055,52399
2022-02-14,1117,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00056,53516
2022-02-14,161,debit,Maintenance Payment,,Operating Expense,Checking Account,TX00057,53355
2022-02-15,798,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00058,54153
2022-02-16,913,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00059,55066
2022-02-17,1148,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00060,56214
2022-02-18,1130,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00061,57344
2022-02-19,956,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00062,58300
2022-02-20,954,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00063,59254
2022-02-21,982,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00064,60236
2022-02-22,714,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00065,60950
2022-02-22,479,debit,Maintenance Payment,,Operating Expense,Checking Account,TX00066,60471
2022-02-23,878,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00067,61349
2022-02-23,330,debit,Bakery Payment,,COGS,Checking Account,TX00068,61019
2022-02-24,751,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00069,61770
2022-02-25,1087,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00070,62857
2022-02-26,1106,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00071,63963
2022-02-27,842,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00072,64805
2022-02-28,735,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00073,65540
2022-03-01,726,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00074,66266
2022-03-02,485,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00075,66751
2022-03-03,569,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00076,67320
2022-03-04,533,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00077,67853
2022-03-05,507,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00078,68360
2022-03-05,385,debit,Utility Bill Payment,,Operating Expense,Checking Account,TX00079,67975
2022-03-06,527,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00080,68502
2022-03-07,747,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00081,69249
2022-03-08,589,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00082,69838
2022-03-08,476,debit,Utility Bill Payment,,Operating Expense,Checking Account,TX00083,69362
2022-03-09,520,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00084,69882
2022-03-10,632,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00085,70514
2022-03-11,597,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00086,71111
2022-03-12,536,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00087,71647
2022-03-13,624,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00088,72271
2022-03-13,271,debit,Utility Bill Payment,,Operating Expense,Checking Account,TX00089,72000
2022-03-14,773,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00090,72773
2022-03-15,632,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00091,73405
2022-03-16,717,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00092,74122
2022-03-17,451,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00093,74573
2022-03-18,694,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00094,75267
2022-03-19,512,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00095,75779
2022-03-19,180,debit,Utility Bill Payment,,Operating Expense,Checking Account,TX00096,75599
2022-03-20,512,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00097,76111
2022-03-21,619,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00098,76730
2022-03-21,323,debit,Bakery Payment,,COGS,Checking Account,TX00099,76407
2022-03-22,784,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00100,77191
2022-03-23,529,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00101,77720
2022-03-24,617,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00102,78337
2022-03-25,646,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00103,78983
2022-03-26,602,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00104,79585
2022-03-27,654,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00105,80239
2022-03-28,724,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00106,80963
2022-03-29,597,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00107,81560
2022-03-30,639,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00108,82199
2022-03-31,600,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00109,82799
2022-04-01,725,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00110,83524
2022-04-02,658,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00111,84182
2022-04-03,745,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00112,84927
2022-04-04,546,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00113,85473
2022-04-05,598,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00114,86071
2022-04-05,227,debit,Coffee Supplier Payment,,COGS,Checking Account,TX00115,85844
2022-04-06,759,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00116,86603
2022-04-06,250,debit,Coffee Supplier Payment,,COGS,Checking Account,TX00117,86353
2022-04-07,498,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00118,86851
2022-04-08,543,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00119,87394
2022-04-09,459,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00120,87853
2022-04-10,784,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00121,88637
2022-04-10,239,debit,Maintenance Payment,,Operating Expense,Checking Account,TX00122,88398
2022-04-11,436,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00123,88834
2022-04-12,408,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00124,89242
2022-04-13,546,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00125,89788
2022-04-14,530,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00126,90318
2022-04-15,453,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00127,90771
2022-04-16,515,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00128,91286
2022-04-16,203,debit,Rent Payment,,Operating Expense,Checking Account,TX00129,91083
2022-04-17,653,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00130,91736
2022-04-17,198,debit,Bakery Payment,,COGS,Checking Account,TX00131,91538
2022-04-18,748,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00132,92286
2022-04-19,765,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00133,93051
2022-04-20,709,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00134,93760
2022-04-21,568,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00135,94328
2022-04-21,167,debit,Bakery Payment,,COGS,Checking Account,TX00136,94161
2022-04-22,797,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00137,94958
2022-04-23,783,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00138,95741
2022-04-24,594,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00139,96335
2022-04-25,432,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00140,96767
2022-04-26,770,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00141,97537
2022-04-27,421,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00142,97958
2022-04-28,437,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00143,98395
2022-04-29,450,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00144,98845
2022-04-30,682,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00145,99527
2022-05-01,676,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00146,100203
2022-05-02,683,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00147,100886
2022-05-03,716,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00148,101602
2022-05-04,403,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00149,102005
2022-05-04,148,debit,Bakery Payment,,COGS,Checking Account,TX00150,101857
2022-05-05,571,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00151,102428
2022-05-06,445,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00152,102873
2022-05-07,498,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00153,103371
2022-05-08,436,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00154,103807
2022-05-09,701,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00155,104508
2022-05-10,498,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00156,105006
2022-05-11,515,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00157,105521
2022-05-12,560,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00158,106081
2022-05-13,527,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00159,106608
2022-05-14,622,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00160,107230
2022-05-15,722,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00161,107952
2022-05-16,679,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00162,108631
2022-05-17,741,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00163,109372
2022-05-18,526,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00164,109898
2022-05-19,785,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00165,110683
2022-05-20,503,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00166,111186
2022-05-21,698,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00167,111884
2022-05-22,438,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00168,112322
2022-05-23,646,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00169,112968
2022-05-24,705,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00170,113673
2022-05-25,412,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00171,114085
2022-05-25,490,debit,Bakery Payment,,COGS,Checking Account,TX00172,113595
2022-05-26,435,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00173,114030
2022-05-27,720,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00174,114750
2022-05-27,499,debit,Rent Payment,,Operating Expense,Checking Account,TX00175,114251
2022-05-28,770,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00176,115021
2022-05-29,491,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00177,115512
2022-05-30,687,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00178,116199
2022-05-31,741,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00179,116940
2022-06-01,585,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00180,117525
2022-06-02,524,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00181,118049
2022-06-03,457,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00182,118506
2022-06-03,279,debit,Coffee Supplier Payment,,COGS,Checking Account,TX00183,118227
2022-06-04,725,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00184,118952
2022-06-05,500,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00185,119452
2022-06-06,452,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00186,119904
2022-06-07,507,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00187,120411
2022-06-08,595,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00188,121006
2022-06-09,771,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00189,121777
2022-06-10,754,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00190,122531
2022-06-11,707,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00191,123238
2022-06-11,469,debit,Rent Payment,,Operating Expense,Checking Account,TX00192,122769
2022-06-12,505,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00193,123274
2022-06-13,544,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00194,123818
2022-06-14,674,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00195,124492
2022-06-15,745,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00196,125237
2022-06-15,216,debit,Bakery Payment,,COGS,Checking Account,TX00197,125021
2022-06-16,795,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00198,125816
2022-06-17,457,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00199,126273
2022-06-18,638,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00200,126911
2022-06-19,525,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00201,127436
2022-06-19,188,debit,Maintenance Payment,,Operating Expense,Checking Account,TX00202,127248
2022-06-20,772,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00203,128020
2022-06-21,588,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00204,128608
2022-06-22,468,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00205,129076
2022-06-23,646,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00206,129722
2022-06-23,253,debit,Utility Bill Payment,,Operating Expense,Checking Account,TX00207,129469
2022-06-24,485,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00208,129954
2022-06-24,319,debit,Maintenance Payment,,Operating Expense,Checking Account,TX00209,129635
2022-06-25,446,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00210,130081
2022-06-25,337,debit,Rent Payment,,Operating Expense,Checking Account,TX00211,129744
2022-06-26,603,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00212,130347
2022-06-26,440,debit,Rent Payment,,Operating Expense,Checking Account,TX00213,129907
2022-06-27,688,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00214,130595
2022-06-28,756,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00215,131351
2022-06-29,409,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00216,131760
2022-06-30,499,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00217,132259
2022-06-30,322,debit,Coffee Supplier Payment,,COGS,Checking Account,TX00218,131937
2022-07-01,749,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00219,132686
2022-07-02,595,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00220,133281
2022-07-03,824,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00221,134105
2022-07-04,515,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00222,134620
2022-07-04,346,debit,Coffee Supplier Payment,,COGS,Checking Account,TX00223,134274
2022-07-05,996,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00224,135270
2022-07-06,659,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00225,135929
2022-07-07,651,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00226,136580
2022-07-08,662,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00227,137242
2022-07-09,916,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00228,138158
2022-07-10,926,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00229,139084
2022-07-11,822,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00230,139906
2022-07-12,667,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00231,140573
2022-07-13,543,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00232,141116
2022-07-14,511,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00233,141627
2022-07-14,485,debit,Maintenance Payment,,Operating Expense,Checking Account,TX00234,141142
2022-07-15,998,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00235,142140
2022-07-16,714,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00236,142854
2022-07-16,363,debit,Maintenance Payment,,Operating Expense,Checking Account,TX00237,142491
2022-07-17,909,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00238,143400
2022-07-18,917,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00239,144317
2022-07-19,890,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00240,145207
2022-07-19,213,debit,Maintenance Payment,,Operating Expense,Checking Account,TX00241,144994
2022-07-20,574,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00242,145568
2022-07-21,919,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00243,146487
2022-07-22,748,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00244,147235
2022-07-23,856,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00245,148091
2022-07-24,691,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00246,148782
2022-07-25,598,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00247,149380
2022-07-26,965,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00248,150345
2022-07-27,595,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00249,150940
2022-07-28,689,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00250,151629
2022-07-29,767,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00251,152396
2022-07-30,512,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00252,152908
2022-07-31,854,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00253,153762
2022-07-31,372,debit,Bakery Payment,,COGS,Checking Account,TX00254,153390
2022-08-01,561,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00255,153951
2022-08-02,716,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00256,154667
2022-08-03,686,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00257,155353
2022-08-03,199,debit,Rent Payment,,Operating Expense,Checking Account,TX00258,155154
2022-08-04,944,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00259,156098
2022-08-05,575,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00260,156673
2022-08-06,783,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00261,157456
2022-08-07,883,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00262,158339
2022-08-08,866,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00263,159205
2022-08-08,168,debit,Utility Bill Payment,,Operating Expense,Checking Account,TX00264,159037
2022-08-09,895,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00265,159932
2022-08-10,878,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00266,160810
2022-08-11,552,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00267,161362
2022-08-12,556,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00268,161918
2022-08-12,280,debit,Coffee Supplier Payment,,COGS,Checking Account,TX00269,161638
2022-08-13,685,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00270,162323
2022-08-13,322,debit,Coffee Supplier Payment,,COGS,Checking Account,TX00271,162001
2022-08-14,632,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00272,162633
2022-08-15,720,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00273,163353
2022-08-16,645,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00274,163998
2022-08-17,508,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00275,164506
2022-08-18,991,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00276,165497
2022-08-19,729,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00277,166226
2022-08-19,240,debit,Coffee Supplier Payment,,COGS,Checking Account,TX00278,165986
2022-08-20,892,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00279,166878
2022-08-21,621,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00280,167499
2022-08-21,128,debit,Maintenance Payment,,Operating Expense,Checking Account,TX00281,167371
2022-08-22,921,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00282,168292
2022-08-23,995,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00283,169287
2022-08-24,841,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00284,170128
2022-08-25,826,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00285,170954
2022-08-26,631,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00286,171585
2022-08-27,751,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00287,172336
2022-08-27,463,debit,Utility Bill Payment,,Operating Expense,Checking Account,TX00288,171873
2022-08-28,701,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00289,172574
2022-08-29,538,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00290,173112
2022-08-30,672,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00291,173784
2022-08-30,319,debit,Coffee Supplier Payment,,COGS,Checking Account,TX00292,173465
2022-08-31,647,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00293,174112
2022-08-31,416,debit,Bakery Payment,,COGS,Checking Account,TX00294,173696
2022-09-01,1122,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00295,174818
2022-09-02,1160,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00296,175978
2022-09-03,890,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00297,176868
2022-09-04,1108,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00298,177976
2022-09-05,1121,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00299,179097
2022-09-06,757,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00300,179854
2022-09-06,259,debit,Maintenance Payment,,Operating Expense,Checking Account,TX00301,179595
2022-09-07,1016,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00302,180611
2022-09-08,779,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00303,181390
2022-09-09,902,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00304,182292
2022-09-10,863,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00305,183155
2022-09-11,719,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00306,183874
2022-09-11,146,debit,Bakery Payment,,COGS,Checking Account,TX00307,183728
